Date,Category,Sub-category,Amount
2023-03-13,Income,NOCHARGE,0
2023-03-14,Income,NOCHARGE,0
2023-03-15,Income,NOCHARGE,0
2023-03-16,Income,NOCHARGE,0
2023-03-17,Income,Salary,262.44
2023-03-18,Income,NOCHARGE,0
2023-03-19,Income,NOCHARGE,0
2023-03-20,Income,NOCHARGE,0
2023-03-21,Income,NOCHARGE,0
2023-03-22,Income,NOCHARGE,0
2023-03-23,Income,NOCHARGE,0
2023-03-24,Income,NOCHARGE,0
2023-03-25,Income,NOCHARGE,0
2023-03-26,Income,NOCHARGE,0
2023-03-27,Income,NOCHARGE,0
2023-03-28,Income,NOCHARGE,0
2023-03-29,Income,NOCHARGE,0
2023-03-30,Income,NOCHARGE,0
2023-03-31,Income,Salary,290.34
2023-04-01,Income,NOCHARGE,0
2023-04-02,Income,NOCHARGE,0
2023-04-03,Income,NOCHARGE,0
2023-04-04,Income,NOCHARGE,0
2023-04-05,Income,NOCHARGE,0
2023-04-06,Income,NOCHARGE,0
2023-04-07,Income,NOCHARGE,0
2023-04-08,Income,NOCHARGE,0
2023-04-09,Income,NOCHARGE,0
2023-04-10,Income,NOCHARGE,0
2023-04-11,Income,NOCHARGE,0
2023-04-12,Income,NOCHARGE,0
2023-04-13,Income,NOCHARGE,0
2023-04-14,Income,Salary,505.7
2023-04-15,Income,NOCHARGE,0
2023-04-16,Income,NOCHARGE,0
2023-04-17,Income,NOCHARGE,0
2023-04-18,Income,NOCHARGE,0
2023-04-19,Income,NOCHARGE,0
2023-04-20,Income,NOCHARGE,0
2023-04-21,Income,NOCHARGE,0
2023-04-22,Income,NOCHARGE,0
2023-04-23,Income,NOCHARGE,0
2023-04-24,Income,NOCHARGE,0
2023-04-25,Income,NOCHARGE,0
2023-04-26,Income,NOCHARGE,0
2023-04-27,Income,NOCHARGE,0
2023-04-28,Income,Salary,934.54
2023-04-29,Income,NOCHARGE,0
2023-04-30,Income,NOCHARGE,0
2023-05-01,Income,NOCHARGE,0
2023-05-02,Income,NOCHARGE,0
2023-05-03,Income,NOCHARGE,0
2023-05-04,Income,NOCHARGE,0
2023-05-05,Income,NOCHARGE,0
2023-05-06,Income,NOCHARGE,0
2023-05-07,Income,NOCHARGE,0
2023-05-08,Income,NOCHARGE,0
2023-05-09,Income,NOCHARGE,0
2023-05-10,Income,NOCHARGE,0
2023-05-11,Income,NOCHARGE,0
2023-05-12,Income,Salary,817.84
2023-05-13,Income,NOCHARGE,0
2023-05-14,Income,NOCHARGE,0
2023-05-15,Income,NOCHARGE,0
2023-05-16,Income,NOCHARGE,0
2023-05-17,Income,NOCHARGE,0
2023-05-18,Income,NOCHARGE,0
2023-05-19,Income,NOCHARGE,0
2023-05-20,Income,NOCHARGE,0
2023-05-21,Income,NOCHARGE,0
2023-05-22,Income,NOCHARGE,0
2023-05-23,Income,NOCHARGE,0
2023-05-24,Income,NOCHARGE,0
2023-05-25,Income,NOCHARGE,0
2023-05-26,Income,Salary,1201.64
2023-05-27,Income,NOCHARGE,0
2023-05-28,Income,NOCHARGE,0
2023-05-29,Income,NOCHARGE,0
2023-05-30,Income,NOCHARGE,0
2023-05-31,Income,NOCHARGE,0
2023-06-01,Income,NOCHARGE,0
2023-06-02,Income,NOCHARGE,0
2023-06-03,Income,NOCHARGE,0
2023-06-04,Income,NOCHARGE,0
2023-06-05,Income,NOCHARGE,0
2023-06-06,Income,NOCHARGE,0
2023-06-07,Income,NOCHARGE,0
2023-06-08,Income,NOCHARGE,0
2023-06-09,Income,Salary,1115.04
2023-06-10,Income,NOCHARGE,0
2023-06-11,Income,NOCHARGE,0
2023-06-12,Income,NOCHARGE,0
2023-06-13,Income,NOCHARGE,0
2023-06-14,Income,NOCHARGE,0
2023-06-15,Income,NOCHARGE,0
2023-06-16,Income,NOCHARGE,0
2023-06-17,Income,NOCHARGE,0
2023-06-18,Income,NOCHARGE,0
2023-06-19,Income,NOCHARGE,0
2023-06-20,Income,NOCHARGE,0
2023-06-21,Income,NOCHARGE,0
2023-06-22,Income,NOCHARGE,0
2023-06-23,Income,Salary,1527.98
2023-06-24,Income,NOCHARGE,0
2023-06-25,Income,NOCHARGE,0
2023-06-26,Income,NOCHARGE,0
2023-06-27,Income,NOCHARGE,0
2023-06-28,Income,NOCHARGE,0
2023-06-29,Income,NOCHARGE,0
2023-06-30,Income,NOCHARGE,0
2023-07-01,Income,NOCHARGE,0
2023-07-02,Income,NOCHARGE,0
2023-07-03,Income,NOCHARGE,0
2023-07-04,Income,NOCHARGE,0
2023-07-05,Income,NOCHARGE,0
2023-07-06,Income,NOCHARGE,0
2023-07-07,Income,Salary,2769.23
2023-07-08,Income,NOCHARGE,0
2023-07-09,Income,NOCHARGE,0
2023-07-10,Income,NOCHARGE,0
2023-07-11,Income,NOCHARGE,0
2023-07-12,Income,NOCHARGE,0
2023-07-13,Income,NOCHARGE,0
2023-07-14,Income,NOCHARGE,0
2023-07-15,Income,NOCHARGE,0
2023-07-16,Income,NOCHARGE,0
2023-07-17,Income,NOCHARGE,0
2023-07-18,Income,NOCHARGE,0
2023-07-19,Income,NOCHARGE,0
2023-07-20,Income,NOCHARGE,0
2023-07-21,Income,Salary,2769.23
2023-07-22,Income,NOCHARGE,0
2023-07-23,Income,NOCHARGE,0
2023-07-24,Income,NOCHARGE,0
2023-07-25,Income,NOCHARGE,0
2023-07-26,Income,NOCHARGE,0
2023-07-27,Income,NOCHARGE,0
2023-07-28,Income,NOCHARGE,0
2023-07-29,Income,NOCHARGE,0
2023-07-30,Income,NOCHARGE,0
2023-07-31,Income,NOCHARGE,0
2023-08-01,Income,NOCHARGE,0
2023-08-02,Income,NOCHARGE,0
2023-08-03,Income,NOCHARGE,0
2023-08-04,Income,Salary,2769.23
2023-08-05,Income,NOCHARGE,0
2023-08-06,Income,NOCHARGE,0
2023-08-07,Income,NOCHARGE,0
2023-08-08,Income,NOCHARGE,0
2023-08-09,Income,NOCHARGE,0
2023-08-10,Income,NOCHARGE,0
2023-08-11,Income,NOCHARGE,0
2023-08-12,Income,NOCHARGE,0
2023-08-13,Income,NOCHARGE,0
2023-08-14,Income,NOCHARGE,0
2023-08-15,Income,NOCHARGE,0
2023-08-16,Income,NOCHARGE,0
2023-08-17,Income,NOCHARGE,0
2023-08-18,Income,Salary,2769.23
2023-08-19,Income,NOCHARGE,0
2023-08-20,Income,NOCHARGE,0
2023-08-21,Income,NOCHARGE,0
2023-08-22,Income,NOCHARGE,0
2023-08-23,Income,NOCHARGE,0
2023-08-24,Income,NOCHARGE,0
2023-08-25,Income,NOCHARGE,0
2023-08-26,Income,NOCHARGE,0
2023-08-27,Income,NOCHARGE,0
2023-08-28,Income,NOCHARGE,0
2023-08-29,Income,NOCHARGE,0
2023-08-30,Income,NOCHARGE,0
2023-08-31,Income,NOCHARGE,0
2023-09-01,Income,Salary,2769.23
2023-09-02,Income,NOCHARGE,0
2023-09-03,Income,NOCHARGE,0
2023-09-04,Income,NOCHARGE,0
2023-09-05,Income,NOCHARGE,0
2023-09-06,Income,NOCHARGE,0
2023-09-07,Income,NOCHARGE,0
2023-09-08,Income,NOCHARGE,0
2023-09-09,Income,NOCHARGE,0
2023-09-10,Income,NOCHARGE,0
2023-09-11,Income,NOCHARGE,0
2023-09-12,Income,NOCHARGE,0
2023-09-13,Income,NOCHARGE,0
2023-09-14,Income,NOCHARGE,0
2023-09-15,Income,Salary,2769.23
2023-09-16,Income,NOCHARGE,0
2023-09-17,Income,NOCHARGE,0
2023-09-18,Income,NOCHARGE,0
2023-09-19,Income,NOCHARGE,0
2023-09-20,Income,NOCHARGE,0
2023-09-21,Income,NOCHARGE,0
2023-09-22,Income,NOCHARGE,0
2023-09-23,Income,NOCHARGE,0
2023-09-24,Income,NOCHARGE,0
2023-09-25,Income,NOCHARGE,0
2023-09-26,Income,NOCHARGE,0
2023-09-27,Income,NOCHARGE,0
2023-09-28,Income,NOCHARGE,0
2023-09-29,Income,Salary,2769.23
2023-09-30,Income,NOCHARGE,0
2023-10-01,Income,NOCHARGE,0
2023-10-02,Income,NOCHARGE,0
2023-10-03,Income,NOCHARGE,0
2023-10-04,Income,NOCHARGE,0
2023-10-05,Income,NOCHARGE,0
2023-10-06,Income,NOCHARGE,0
2023-10-07,Income,NOCHARGE,0
2023-10-08,Income,NOCHARGE,0
2023-10-09,Income,NOCHARGE,0
2023-10-10,Income,NOCHARGE,0
2023-10-11,Income,NOCHARGE,0
2023-10-12,Income,NOCHARGE,0
2023-10-13,Income,Salary,2769.23
2023-10-14,Income,NOCHARGE,0
2023-10-15,Income,NOCHARGE,0
2023-10-16,Income,NOCHARGE,0
2023-10-17,Income,NOCHARGE,0
2023-10-18,Income,NOCHARGE,0
2023-10-19,Income,NOCHARGE,0
2023-10-20,Income,NOCHARGE,0
2023-10-21,Income,NOCHARGE,0
2023-10-22,Income,NOCHARGE,0
2023-10-23,Income,NOCHARGE,0
2023-10-24,Income,NOCHARGE,0
2023-10-25,Income,NOCHARGE,0
2023-10-26,Income,NOCHARGE,0
2023-10-27,Income,Salary,2769.23
2023-10-28,Income,NOCHARGE,0
2023-10-29,Income,NOCHARGE,0
2023-10-30,Income,NOCHARGE,0
2023-10-31,Income,NOCHARGE,0
2023-11-01,Income,NOCHARGE,0
2023-11-02,Income,NOCHARGE,0
2023-11-03,Income,NOCHARGE,0
2023-11-04,Income,NOCHARGE,0
2023-11-05,Income,NOCHARGE,0
2023-11-06,Income,NOCHARGE,0
2023-11-07,Income,NOCHARGE,0
2023-11-08,Income,NOCHARGE,0
2023-11-09,Income,NOCHARGE,0
2023-11-10,Income,Salary,2769.23
2023-11-11,Income,NOCHARGE,0
2023-11-12,Income,NOCHARGE,0
2023-11-13,Income,NOCHARGE,0
2023-11-14,Income,NOCHARGE,0
2023-11-15,Income,NOCHARGE,0
2023-11-16,Income,NOCHARGE,0
2023-11-17,Income,NOCHARGE,0
2023-11-18,Income,NOCHARGE,0
2023-11-19,Income,NOCHARGE,0
2023-11-20,Income,NOCHARGE,0
2023-11-21,Income,NOCHARGE,0
2023-11-22,Income,NOCHARGE,0
2023-11-23,Income,NOCHARGE,0
2023-11-24,Income,Salary,2769.23
2023-11-25,Income,NOCHARGE,0
2023-11-26,Income,NOCHARGE,0
2023-11-27,Income,NOCHARGE,0
2023-11-28,Income,NOCHARGE,0
2023-11-29,Income,NOCHARGE,0
2023-11-30,Income,NOCHARGE,0
2023-12-01,Income,NOCHARGE,0
2023-12-02,Income,NOCHARGE,0
2023-12-03,Income,NOCHARGE,0
2023-12-04,Income,NOCHARGE,0
2023-12-05,Income,NOCHARGE,0
2023-12-06,Income,NOCHARGE,0
2023-12-07,Income,NOCHARGE,0
2023-12-08,Income,Salary,2769.23
2023-12-09,Income,NOCHARGE,0
2023-12-10,Income,NOCHARGE,0
2023-12-11,Income,NOCHARGE,0
2023-12-12,Income,NOCHARGE,0
2023-12-13,Income,NOCHARGE,0
2023-12-14,Income,NOCHARGE,0
2023-12-15,Income,NOCHARGE,0
2023-12-16,Income,NOCHARGE,0
2023-12-17,Income,NOCHARGE,0
2023-12-18,Income,NOCHARGE,0
2023-12-19,Income,NOCHARGE,0
2023-12-20,Income,NOCHARGE,0
2023-12-21,Income,NOCHARGE,0
2023-12-22,Income,Salary,3769.23
2023-12-23,Income,NOCHARGE,0
2023-12-24,Income,NOCHARGE,0
2023-12-25,Income,NOCHARGE,0
2023-12-26,Income,NOCHARGE,0
2023-12-27,Income,NOCHARGE,0
2023-12-28,Income,NOCHARGE,0
2023-12-29,Income,NOCHARGE,0
2023-12-30,Income,NOCHARGE,0
2023-12-31,Income,NOCHARGE,0
